audio_url,number
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_01.mp3,45
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_02.mp3,20
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_03.mp3,26
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_04.mp3,53
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_05.mp3,32
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_06.mp3,40
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_07.mp3,66
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_08.mp3,46
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_09.mp3,95
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_10.mp3,59
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_11.mp3,29
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_12.mp3,24
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_13.mp3,86
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_152203_14.mp3,20
https://raw.github.com/selveszero/nets213final/main/data/mp3_files/iterx/jazz/2021-05-10_133558_15.mp3,38
